Name,Pokemon Number,Stat Total,HP,Attack,Defense,Speed,Sp.Def,Sp.Atk,First Type,Second Type,First Ability,Second Ability,Hidden Ability,Generation,Egg Group 1,Egg Group 2,isSubLegendary,isLegendary,isMythical,isFullyEvolved
Clefable,36,483,95,70,73,60,90,95,Fairy,None,Cute Charm,Magic Guard,Unaware,1,Fairy,None,FALSE,FALSE,FALSE,TRUE
Ninetales,38,505,73,76,75,100,100,81,Fire,None,Flash Fire,None,Drought,1,Field,None,FALSE,FALSE,FALSE,TRUE
Ninetales(Alolan Ninetales),38,505,73,67,75,109,100,81,Ice,Fairy,Snow Cloak,None,Snow Warning,7,Field,None,FALSE,FALSE,FALSE,TRUE
Wigglytuff,40,435,140,70,45,45,50,85,Normal,Fairy,Cute Charm,Competitive,Frisk,1,Fairy,None,FALSE,FALSE,FALSE,TRUE
Vileplume,45,490,75,80,85,50,90,110,Grass,Poison,Chlorophyll,None,Effect Spore,1,Grass,None,FALSE,FALSE,FALSE,TRUE
Parasect,47,405,60,95,80,30,80,60,Bug,Grass,Effect Spore,Dry Skin,Damp,1,Bug,Grass,FALSE,FALSE,FALSE,TRUE
Venomoth,49,450,70,65,60,90,75,90,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,1,Bug,None,FALSE,FALSE,FALSE,TRUE
Dugtrio,51,425,35,100,50,120,70,50,Ground,None,Sand Veil,Arena Trap,Sand Force,1,Field,None,FALSE,FALSE,FALSE,TRUE
Dugtrio(Alolan Dugtrio),51,425,35,100,60,110,70,50,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,7,Field,None,FALSE,FALSE,FALSE,TRUE
Persian,53,440,65,70,60,115,65,65,Normal,None,Limber,Technician,Unnerve,1,Field,None,FALSE,FALSE,FALSE,TRUE
Persian(Alolan Persian),53,440,65,60,60,115,65,75,Dark,None,Fur Coat,Technician,Rattled,7,Field,None,FALSE,FALSE,FALSE,TRUE
Golduck,55,500,80,82,78,85,80,95,Water,None,Damp,Cloud Nine,Swift Swim,1,Field,Water 1,FALSE,FALSE,FALSE,TRUE
Arcanine,59,555,90,110,80,95,80,100,Fire,None,Intimidate,Flash Fire,Justified,1,Field,None,FALSE,FALSE,FALSE,TRUE
Arcanine(Hisuian Arcanine),59,555,95,115,80,90,80,95,Fire,Rock,Intimidate,Flash Fire,Rock Head,1,Field,None,FALSE,FALSE,FALSE,TRUE
Poliwrath,62,510,90,95,95,70,90,70,Water,Fighting,Water Absorb,Damp,Swift Swim,1,Water 1,None,FALSE,FALSE,FALSE,TRUE
Alakazam,65,500,55,50,45,120,95,135,Psychic,None,Synchronize,Inner Focus,Magic Guard,1,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Machamp,68,505,90,130,80,55,85,65,Fighting,None,Guts,No Guard,Steadfast,1,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Victreebel,71,490,80,105,65,70,70,100,Grass,Poison,Chlorophyll,None,Gluttony,1,Grass,None,FALSE,FALSE,FALSE,TRUE
Tentacruel,73,515,80,70,65,100,120,80,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,1,Water 3,None,FALSE,FALSE,FALSE,TRUE
Golem,76,495,80,120,130,45,65,55,Rock,Ground,Rock Head,Sturdy,Sand Veil,1,Mineral,None,FALSE,FALSE,FALSE,TRUE
Golem(Alolan Golem),76,495,80,120,130,45,65,55,Rock,Electric,Magnet Pull,Sturdy,Galvanize,7,Mineral,None,FALSE,FALSE,FALSE,TRUE
Rapidash,78,500,65,100,70,105,80,80,Fire,None,Run Away,Flash Fire,Flame Body,1,Field,None,FALSE,FALSE,FALSE,TRUE
Rapidash(Galarian Rapidash),78,500,65,100,70,105,80,80,Psychic,Fairy,Run Away,Pastel Veil,Anticipation,8,Field,None,FALSE,FALSE,FALSE,TRUE
Slowbro,80,490,95,75,110,30,80,100,Water,Psychic,Oblivious,Own Tempo,Regenerator,1,Monster,Water 1,FALSE,FALSE,FALSE,TRUE
Slowbro(Galarian Slowbro),80,490,95,100,95,30,70,100,Poison,Psychic,Quick Draw,Own Tempo,Regenerator,8,Monster,Water 1,FALSE,FALSE,FALSE,TRUE
Farfetch'd,83,377,52,90,55,60,62,58,Normal,Flying,Keen Eye,Inner Focus,Defiant,1,Field,Flying,FALSE,FALSE,FALSE,TRUE
Dodrio,85,470,60,110,70,110,60,60,Normal,Flying,Run Away,Early Bird,Tangled Feet,1,Flying,None,FALSE,FALSE,FALSE,TRUE
Dewgong,87,475,90,70,80,70,95,70,Water,Ice,Thick Fat,Hydration,Ice Body,1,Field,Water 1,FALSE,FALSE,FALSE,TRUE
Muk,89,500,105,105,75,50,100,65,Poison,None,Stench,Sticky Hold,Poison Touch,1,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Muk(Alolan Muk),89,500,105,105,75,50,100,65,Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,7,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Cloyster,91,525,50,95,180,70,45,85,Water,Ice,Shell Armor,Skill Link,Overcoat,1,Water 3,None,FALSE,FALSE,FALSE,TRUE
Gengar,94,500,60,65,60,110,75,130,Ghost,Poison,Cursed Body,None,None,1,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Hypno,97,483,85,73,70,67,115,73,Psychic,None,Insomnia,Forewarn,Inner Focus,1,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Kingler,99,475,55,130,115,75,50,50,Water,None,Hyper Cutter,Shell Armor,Sheer Force,1,Water 3,None,FALSE,FALSE,FALSE,TRUE
Electrode,101,490,60,50,70,150,80,80,Electric,None,Soundproof,Static,Aftermath,1,Mineral,None,FALSE,FALSE,FALSE,TRUE
Electrode(Hisuian Electrode),101,490,60,50,70,150,80,80,Electric,Grass,Soundproof,Static,Aftermath,1,Mineral,None,FALSE,FALSE,FALSE,TRUE
Exeggutor,103,530,95,95,85,55,75,125,Grass,Psychic,Chlorophyll,None,Harvest,1,Grass,None,FALSE,FALSE,FALSE,TRUE
Exeggutor(Alolan Exeggutor),103,530,95,105,85,45,75,125,Grass,Dragon,Frisk,None,Harvest,7,Grass,None,FALSE,FALSE,FALSE,TRUE
Marowak,105,425,60,80,110,45,80,50,Ground,None,Rock Head,Lightning Rod,Battle Armor,1,Monster,None,FALSE,FALSE,FALSE,TRUE
Marowak(Alolan Marowak),105,425,60,80,110,45,80,50,Fire,Ghost,Cursed Body,Lightning Rod,Rock Head,7,Monster,None,FALSE,FALSE,FALSE,TRUE
Hitmonlee,106,455,50,120,53,87,110,35,Fighting,None,Limber,Reckless,Unburden,1,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Hitmonchan,107,455,50,105,79,76,110,35,Fighting,None,Keen Eye,Iron Fist,Inner Focus,1,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Weezing,110,490,65,90,120,60,70,85,Poison,None,Levitate,Neutralizing Gas,Stench,1,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Weezing(Galarian Weezing),110,490,65,90,120,60,70,85,Poison,Fairy,Levitate,Neutralizing Gas,Misty Surge,8,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Kangaskhan,115,490,105,95,80,90,80,40,Normal,None,Early Bird,Scrappy,Inner Focus,1,Monster,None,FALSE,FALSE,FALSE,TRUE
Seaking,119,450,80,92,65,68,80,65,Water,None,Swift Swim,Water Veil,Lightning Rod,1,Water 2,None,FALSE,FALSE,FALSE,TRUE
Starmie,121,520,60,75,85,115,85,100,Water,Psychic,Illuminate,Natural Cure,Analytic,1,Water 3,None,FALSE,FALSE,FALSE,TRUE
Mr. Mime,122,460,40,45,65,90,120,100,Psychic,Fairy,Soundproof,Filter,Technician,1,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Jynx,124,455,65,50,35,95,95,115,Ice,Psychic,Oblivious,Forewarn,Dry Skin,1,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Pinsir,127,500,65,125,100,85,70,55,Bug,None,Hyper Cutter,Mold Breaker,Moxie,1,Bug,None,FALSE,FALSE,FALSE,TRUE
Tauros,128,490,75,100,95,110,70,40,Normal,None,Intimidate,Anger Point,Sheer Force,1,Field,None,FALSE,FALSE,FALSE,TRUE
Tauros(Combat Breed),128,490,75,110,105,100,70,30,Fighting,None,Intimidate,Anger Point,Cud Chew,1,Field,None,FALSE,FALSE,FALSE,TRUE
Tauros(Blaze Breed),128,490,75,110,105,100,70,30,Fighting,Fire,Intimidate,Anger Point,Cud Chew,1,Field,None,FALSE,FALSE,FALSE,TRUE
Tauros(Aqua Breed),128,490,75,110,105,100,70,30,Fighting,Water,Intimidate,Anger Point,Cud Chew,1,Field,None,FALSE,FALSE,FALSE,TRUE
Gyarados,130,540,95,125,79,81,100,60,Water,Flying,Intimidate,None,Moxie,1,Dragon,Water 2,FALSE,FALSE,FALSE,TRUE
Lapras,131,535,130,85,80,60,95,85,Water,Ice,Water Absorb,Shell Armor,Hydration,1,Monster,Water 1,FALSE,FALSE,FALSE,TRUE
Ditto,132,288,48,48,48,48,48,48,Normal,None,Limber,None,Imposter,1,Ditto,None,FALSE,FALSE,FALSE,TRUE
Vaporeon,134,525,130,65,60,65,95,110,Water,None,Water Absorb,None,Hydration,1,Field,None,FALSE,FALSE,FALSE,TRUE
Jolteon,135,525,65,65,60,130,95,110,Electric,None,Volt Absorb,None,Quick Feet,1,Field,None,FALSE,FALSE,FALSE,TRUE
Flareon,136,525,65,130,60,65,110,95,Fire,None,Flash Fire,None,Guts,1,Field,None,FALSE,FALSE,FALSE,TRUE
Omastar,139,495,70,60,125,55,70,115,Rock,Water,Swift Swim,Shell Armor,Weak Armor,1,Water 1,Water 3,FALSE,FALSE,FALSE,TRUE
Kabutops,141,495,60,115,105,80,70,65,Rock,Water,Swift Swim,Battle Armor,Weak Armor,1,Water 1,Water 3,FALSE,FALSE,FALSE,TRUE
Aerodactyl,142,515,80,105,65,130,75,60,Rock,Flying,Rock Head,Pressure,Unnerve,1,Flying,None,FALSE,FALSE,FALSE,TRUE
Snorlax,143,540,160,110,65,30,110,65,Normal,None,Immunity,Thick Fat,Gluttony,1,Monster,None,FALSE,FALSE,FALSE,TRUE
Articuno,144,580,90,85,100,85,125,95,Ice,Flying,Pressure,None,Snow Cloak,1,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Articuno(Galarian Articuno),144,580,90,85,85,95,100,125,Psychic,Flying,Competitive,None,None,8,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Zapdos,145,580,90,90,85,100,90,125,Electric,Flying,Pressure,None,Static,1,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Zapdos(Galarian Zapdos),145,580,90,125,90,100,90,85,Fighting,Flying,Defiant,None,None,8,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Moltres,146,580,90,100,90,90,85,125,Fire,Flying,Pressure,None,Flame Body,1,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Moltres(Galarian Moltres),146,580,90,85,90,90,125,100,Dark,Flying,Berserk,None,None,8,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Dragonite,149,600,91,134,95,80,100,100,Dragon,Flying,Inner Focus,None,Multiscale,1,Dragon,Water 1,FALSE,FALSE,FALSE,TRUE
Mewtwo,150,680,106,110,90,130,90,154,Psychic,None,Pressure,None,Unnerve,1,Undiscovered,None,FALSE,TRUE,FALSE,TRUE
Mew,151,600,100,100,100,100,100,100,Psychic,None,Synchronize,None,None,1,Undiscovered,None,FALSE,FALSE,TRUE,TRUE
Meganium,154,525,80,82,100,80,100,83,Grass,None,Overgrow,None,Leaf Guard,2,Grass,Monster,FALSE,FALSE,FALSE,TRUE
Typhlosion,157,534,78,84,78,100,85,109,Fire,None,Blaze,None,Flash Fire,2,Field,None,FALSE,FALSE,FALSE,TRUE
Typhlosion(Hisuian Typhlosion),157,534,73,84,78,95,85,119,Fire,Ghost,Blaze,None,Frisk,2,Field,None,FALSE,FALSE,FALSE,TRUE
Feraligatr,160,530,85,105,100,78,83,79,Water,None,Torrent,None,Sheer Force,2,Monster,Water 1,FALSE,FALSE,FALSE,TRUE
Furret,162,415,85,76,64,90,55,45,Normal,None,Run Away,Keen Eye,Frisk,2,Field,None,FALSE,FALSE,FALSE,TRUE
Noctowl,164,452,100,50,50,70,96,86,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,2,Flying,None,FALSE,FALSE,FALSE,TRUE
Ledian,166,390,55,35,50,85,110,55,Bug,Flying,Swarm,Early Bird,Iron Fist,2,Bug,None,FALSE,FALSE,FALSE,TRUE
Ariados,168,400,70,90,70,40,70,60,Bug,Poison,Swarm,Insomnia,Sniper,2,Bug,None,FALSE,FALSE,FALSE,TRUE
Crobat,169,535,85,90,80,130,80,70,Poison,Flying,Inner Focus,None,Infiltrator,2,Flying,None,FALSE,FALSE,FALSE,TRUE
Lanturn,171,460,125,58,58,67,76,76,Water,Electric,Volt Absorb,Illuminate,Water Absorb,2,Water 2,None,FALSE,FALSE,FALSE,TRUE
Xatu,178,470,65,75,70,95,70,95,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,2,Flying,None,FALSE,FALSE,FALSE,TRUE
Ampharos,181,510,90,75,85,55,90,115,Electric,None,Static,None,Plus,2,Field,Monster,FALSE,FALSE,FALSE,TRUE
Bellossom,182,490,75,80,95,50,100,90,Grass,None,Chlorophyll,None,Healer,2,Grass,None,FALSE,FALSE,FALSE,TRUE
Azumarill,184,420,100,50,80,50,80,60,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,2,Fairy,Water 1,FALSE,FALSE,FALSE,TRUE
Sudowoodo,185,410,70,100,115,30,65,30,Rock,None,Sturdy,Rock Head,Rattled,2,Mineral,None,FALSE,FALSE,FALSE,TRUE
Politoed,186,500,90,75,75,70,100,90,Water,None,Water Absorb,Damp,Drizzle,2,Water 1,None,FALSE,FALSE,FALSE,TRUE
Jumpluff,189,460,75,55,70,110,95,55,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,2,Fairy,Grass,FALSE,FALSE,FALSE,TRUE
Sunflora,192,425,75,75,55,30,85,105,Grass,None,Chlorophyll,Solar Power,Early Bird,2,Grass,None,FALSE,FALSE,FALSE,TRUE
Quagsire,195,430,95,85,85,35,65,65,Water,Ground,Damp,Water Absorb,Unaware,2,Field,Water 1,FALSE,FALSE,FALSE,TRUE
Espeon,196,525,65,65,60,110,95,130,Psychic,None,Synchronize,None,Magic Bounce,2,Field,None,FALSE,FALSE,FALSE,TRUE
Umbreon,197,525,95,65,110,65,130,60,Dark,None,Synchronize,None,Inner Focus,2,Field,None,FALSE,FALSE,FALSE,TRUE
Slowking,199,490,95,75,80,30,110,100,Water,Psychic,Oblivious,Own Tempo,Regenerator,2,Monster,Water 1,FALSE,FALSE,FALSE,TRUE
Slowking(Galarian Slowking),199,490,95,65,80,30,110,110,Poison,Psychic,Curious Medicine,Own Tempo,Regenerator,8,Monster,Water 1,FALSE,FALSE,FALSE,TRUE
Unown,201,336,48,72,48,48,48,72,Psychic,None,Levitate,None,None,2,Undiscovered,None,FALSE,FALSE,FALSE,TRUE
Wobbuffet,202,405,190,33,58,33,58,33,Psychic,None,Shadow Tag,None,Telepathy,2,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Forretress,205,465,75,90,140,40,60,60,Bug,Steel,Sturdy,None,Overcoat,2,Bug,None,FALSE,FALSE,FALSE,TRUE
Steelix,208,510,75,85,200,30,65,55,Steel,Ground,Rock Head,Sturdy,Sheer Force,2,Mineral,None,FALSE,FALSE,FALSE,TRUE
Granbull,210,450,90,120,75,45,60,60,Fairy,None,Intimidate,Quick Feet,Rattled,2,Fairy,Field,FALSE,FALSE,FALSE,TRUE
Qwilfish,211,440,65,95,85,85,55,55,Water,Poison,Poison Point,Swift Swim,Intimidate,2,Water 2,None,FALSE,FALSE,FALSE,TRUE
Scizor,212,500,70,130,100,65,80,55,Bug,Steel,Swarm,Technician,Light Metal,2,Bug,None,FALSE,FALSE,FALSE,TRUE
Shuckle,213,505,20,10,230,5,230,10,Bug,Rock,Sturdy,Gluttony,Contrary,2,Bug,None,FALSE,FALSE,FALSE,TRUE
Heracross,214,500,80,125,75,85,95,40,Bug,Fighting,Swarm,Guts,Moxie,2,Bug,None,FALSE,FALSE,FALSE,TRUE
Magcargo,219,430,60,50,120,30,80,90,Fire,Rock,Magma Armor,Flame Body,Weak Armor,2,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Corsola,222,410,65,55,95,35,95,65,Water,Rock,Hustle,Natural Cure,Regenerator,2,Water 1,Water 3,FALSE,FALSE,FALSE,TRUE
Octillery,224,480,75,105,75,45,75,105,Water,None,Suction Cups,Sniper,Moody,2,Water 1,Water 2,FALSE,FALSE,FALSE,TRUE
Delibird,225,330,45,55,45,75,45,65,Ice,Flying,Vital Spirit,Hustle,Insomnia,2,Field,Water 1,FALSE,FALSE,FALSE,TRUE
Mantine,226,485,85,40,70,70,140,80,Water,Flying,Swift Swim,Water Absorb,Water Veil,2,Water 1,None,FALSE,FALSE,FALSE,TRUE
Skarmory,227,465,65,80,140,70,70,40,Steel,Flying,Keen Eye,Sturdy,Weak Armor,2,Flying,None,FALSE,FALSE,FALSE,TRUE
Houndoom,229,500,75,90,50,95,80,110,Dark,Fire,Early Bird,Flash Fire,Unnerve,2,Field,None,FALSE,FALSE,FALSE,TRUE
Kingdra,230,540,75,95,95,85,95,95,Water,Dragon,Swift Swim,Sniper,Damp,2,Dragon,Water 1,FALSE,FALSE,FALSE,TRUE
Donphan,232,500,90,120,120,50,60,60,Ground,None,Sturdy,None,Sand Veil,2,Field,None,FALSE,FALSE,FALSE,TRUE
Smeargle,235,250,55,20,35,75,45,20,Normal,None,Own Tempo,Technician,Moody,2,Field,None,FALSE,FALSE,FALSE,TRUE
Hitmontop,237,455,50,95,95,70,110,35,Fighting,None,Intimidate,Technician,Steadfast,2,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Miltank,241,490,95,80,105,100,70,40,Normal,None,Thick Fat,Scrappy,Sap Sipper,2,Field,None,FALSE,FALSE,FALSE,TRUE
Blissey,242,540,255,10,10,55,135,75,Normal,None,Natural Cure,Serene Grace,Healer,2,Fairy,None,FALSE,FALSE,FALSE,TRUE
Raikou,243,580,90,85,75,115,100,115,Electric,None,Pressure,None,Inner Focus,2,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Entei,244,580,115,115,85,100,75,90,Fire,None,Pressure,None,Inner Focus,2,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Suicune,245,580,100,75,115,85,115,90,Water,None,Pressure,None,Inner Focus,2,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Tyranitar,248,600,100,134,110,61,100,95,Rock,Dark,Sand Stream,None,Unnerve,2,Monster,None,FALSE,FALSE,FALSE,TRUE
Lugia,249,680,106,90,130,110,154,90,Psychic,Flying,Pressure,None,Multiscale,2,Undiscovered,None,FALSE,TRUE,FALSE,TRUE
Ho-oh,250,680,106,130,90,90,154,110,Fire,Flying,Pressure,None,Regenerator,2,Undiscovered,None,FALSE,FALSE,FALSE,TRUE
Celebi,251,600,100,100,100,100,100,100,Psychic,Grass,Natural Cure,None,None,2,Undiscovered,None,FALSE,FALSE,TRUE,TRUE
Sceptile,254,530,70,85,65,120,85,105,Grass,None,Overgrow,None,Unburden,3,Dragon,Monster,FALSE,FALSE,FALSE,TRUE
Blaziken,257,530,80,120,70,80,70,110,Fire,Fighting,Blaze,None,Speed Boost,3,Field,None,FALSE,FALSE,FALSE,TRUE
Swampert,260,535,100,110,90,60,90,85,Water,Ground,Torrent,None,Damp,3,Monster,Water 1,FALSE,FALSE,FALSE,TRUE
Linoone,264,420,78,70,61,100,61,50,Normal,None,Pickup,Gluttony,Quick Feet,3,Field,None,FALSE,FALSE,FALSE,TRUE
Beautifly,267,395,60,70,50,65,50,100,Bug,Flying,Swarm,None,Rivalry,3,Bug,None,FALSE,FALSE,FALSE,TRUE
Dustox,269,385,60,50,70,65,90,50,Bug,Poison,Shield Dust,None,Compound Eyes,3,Bug,None,FALSE,FALSE,FALSE,TRUE
Ludicolo,272,480,80,70,70,70,100,90,Water,Grass,Swift Swim,Rain Dish,Own Tempo,3,Grass,Water 1,FALSE,FALSE,FALSE,TRUE
Shiftry,275,480,90,100,60,80,60,90,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,3,Field,Grass,FALSE,FALSE,FALSE,TRUE
Swellow,277,455,60,85,60,125,50,75,Normal,Flying,Guts,None,Scrappy,3,Flying,None,FALSE,FALSE,FALSE,TRUE
Pelipper,279,440,60,50,100,65,70,95,Water,Flying,Keen Eye,Drizzle,Rain Dish,3,Flying,Water 1,FALSE,FALSE,FALSE,TRUE
Gardevoir,282,518,68,65,65,80,115,125,Psychic,Fairy,Synchronize,Trace,Telepathy,3,Amorphous,Human-Like,FALSE,FALSE,FALSE,TRUE
Masquerain,284,454,70,60,62,80,82,100,Bug,Flying,Intimidate,None,Unnerve,3,Bug,Water 1,FALSE,FALSE,FALSE,TRUE
Breloom,286,460,60,130,80,70,60,60,Grass,Fighting,Effect Spore,Poison Heal,Technician,3,Fairy,Grass,FALSE,FALSE,FALSE,TRUE
Slaking,289,670,150,160,100,100,65,95,Normal,None,Truant,None,None,3,Field,None,FALSE,FALSE,FALSE,TRUE
Ninjask,291,456,61,90,45,160,50,50,Bug,Flying,Speed Boost,None,Infiltrator,3,Bug,None,FALSE,FALSE,FALSE,TRUE
Shedinja,292,236,1,90,45,40,30,30,Bug,Ghost,Wonder Guard,None,None,3,Mineral,None,FALSE,FALSE,FALSE,TRUE
Exploud,295,490,104,91,63,68,73,91,Normal,None,Soundproof,None,Scrappy,3,Field,Monster,FALSE,FALSE,FALSE,TRUE
Hariyama,297,474,144,120,60,50,60,40,Fighting,None,Thick Fat,Guts,Sheer Force,3,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Delcatty,301,400,70,65,65,90,55,55,Normal,None,Cute Charm,Normalize,Wonder Skin,3,Fairy,Field,FALSE,FALSE,FALSE,TRUE
Sableye,302,380,50,75,75,50,65,65,Dark,Ghost,Keen Eye,Stall,Prankster,3,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Mawile,303,380,50,85,85,50,55,55,Steel,Fairy,Hyper Cutter,Intimidate,Sheer Force,3,Fairy,Field,FALSE,FALSE,FALSE,TRUE
Aggron,306,530,70,110,180,50,60,60,Steel,Rock,Sturdy,Rock Head,Heavy Metal,3,Monster,None,FALSE,FALSE,FALSE,TRUE
Medicham,308,410,60,60,75,80,75,60,Fighting,Psychic,Pure Power,None,Telepathy,3,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Manectric,310,475,70,75,60,105,60,105,Electric,None,Static,Lightning Rod,Minus,3,Field,None,FALSE,FALSE,FALSE,TRUE
Plusle,311,405,60,50,40,95,75,85,Electric,None,Plus,None,Lightning Rod,3,Fairy,None,FALSE,FALSE,FALSE,TRUE
Minun,312,405,60,40,50,95,85,75,Electric,None,Minus,None,Volt Absorb,3,Fairy,None,FALSE,FALSE,FALSE,TRUE
Volbeat,313,430,65,73,75,85,85,47,Bug,None,Illuminate,Swarm,Prankster,3,Bug,Human-Like,FALSE,FALSE,FALSE,TRUE
Illumise,314,430,65,47,75,85,85,73,Bug,None,Oblivious,Tinted Lens,Prankster,3,Bug,Human-Like,FALSE,FALSE,FALSE,TRUE
Swalot,317,467,100,73,83,55,83,73,Poison,None,Liquid Ooze,Sticky Hold,Gluttony,3,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Sharpedo,319,460,70,120,40,95,40,95,Water,Dark,Rough Skin,None,Speed Boost,3,Water 2,None,FALSE,FALSE,FALSE,TRUE
Wailord,321,500,170,90,45,60,45,90,Water,None,Water Veil,Oblivious,Pressure,3,Field,Water 2,FALSE,FALSE,FALSE,TRUE
Camerupt,323,460,70,100,70,40,75,105,Fire,Ground,Magma Armor,Solid Rock,Anger Point,3,Field,None,FALSE,FALSE,FALSE,TRUE
Torkoal,324,470,70,85,140,20,70,85,Fire,None,White Smoke,Drought,Shell Armor,3,Field,None,FALSE,FALSE,FALSE,TRUE
Grumpig,326,470,80,45,65,80,110,90,Psychic,None,Thick Fat,Own Tempo,Gluttony,3,Field,None,FALSE,FALSE,FALSE,TRUE
Spinda,327,360,60,60,60,60,60,60,Normal,None,Own Tempo,Tangled Feet,Contrary,3,Field,Human-Like,FALSE,FALSE,FALSE,TRUE
Flygon,330,520,80,100,80,100,80,80,Ground,Dragon,Levitate,None,None,3,Bug,Dragon,FALSE,FALSE,FALSE,TRUE
Cacturne,332,475,70,115,60,55,60,115,Grass,Dark,Sand Veil,None,Water Absorb,3,Grass,Human-Like,FALSE,FALSE,FALSE,TRUE
Altaria,334,490,75,70,90,80,105,70,Dragon,Flying,Natural Cure,None,Cloud Nine,3,Dragon,Flying,FALSE,FALSE,FALSE,TRUE
Zangoose,335,458,73,115,60,90,60,60,Normal,None,Immunity,None,Toxic Boost,3,Field,None,FALSE,FALSE,FALSE,TRUE
Seviper,336,458,73,100,60,65,60,100,Poison,None,Shed Skin,None,Infiltrator,3,Dragon,Field,FALSE,FALSE,FALSE,TRUE
