,Pokemon Number,Stat Total,HP,Attack,Defense,Speed,Sp.Def,Sp.Atk,First Type,Second Type,First Ability,Second Ability,Hidden Ability,Generation,Egg Group 1,Egg Group 2,Is Sub Legendary,Is Legendary,Is Mythical,Is Fully Evolved
Pidgeot,18,479,83,80,75,101,70,70,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,1,Flying,None,FALSE,FALSE,FALSE,TRUE
Rattata,19,253,30,56,35,72,35,25,Normal,None,Run Away,Guts,Hustle,1,Field,None,FALSE,FALSE,FALSE,FALSE
Rattata(Alolan Rattata),19,253,30,56,35,72,35,25,Dark,Normal,Gluttony,Hustle,Thick Fat,7,Field,None,FALSE,FALSE,FALSE,FALSE
Raticate,20,413,55,81,60,97,70,50,Normal,None,Run Away,Guts,Hustle,1,Field,None,FALSE,FALSE,FALSE,TRUE
Raticate(Alolan Raticate),20,413,75,71,70,77,80,40,Dark,Normal,Gluttony,Hustle,Thick Fat,7,Field,None,FALSE,FALSE,FALSE,TRUE
Spearow,21,262,40,60,30,70,31,31,Normal,Flying,Keen Eye,None,Sniper,1,Flying,None,FALSE,FALSE,FALSE,FALSE
Fearow,22,442,65,90,65,100,61,61,Normal,Flying,Keen Eye,None,Sniper,1,Flying,None,FALSE,FALSE,FALSE,TRUE
Ekans,23,288,35,60,44,55,54,40,Poison,None,Intimidate,Shed Skin,Unnerve,1,Dragon,Field,FALSE,FALSE,FALSE,FALSE
Arbok,24,448,60,95,69,80,79,65,Poison,None,Intimidate,Shed Skin,Unnerve,1,Dragon,Field,FALSE,FALSE,FALSE,TRUE
Pikachu(Partner Pikachu),25,430,45,80,50,120,60,75,Electric,None,None,None,None,1,Fairy,Field,FALSE,FALSE,FALSE,FALSE
Pikachu,25,320,35,55,40,90,50,50,Electric,None,Static,None,Lightning Rod,1,Fairy,Field,FALSE,FALSE,FALSE,FALSE
Raichu,26,485,60,90,55,110,80,90,Electric,None,Static,None,Lightning Rod,1,Fairy,Field,FALSE,FALSE,FALSE,TRUE
Raichu(Alolan Raichu),26,485,60,85,50,110,85,95,Electric,Psychic,Surge Surfer,None,None,7,Fairy,Field,FALSE,FALSE,FALSE,TRUE
Sandshrew,27,300,50,75,85,40,30,20,Ground,None,Sand Veil,None,Sand Rush,1,Field,None,FALSE,FALSE,FALSE,FALSE
Sandshrew(Alolan Sandshrew),27,300,50,75,90,40,35,10,Ice,Steel,Snow Cloak,None,Slush Rush,7,Field,None,FALSE,FALSE,FALSE,FALSE
Sandslash,28,450,75,100,110,65,55,45,Ground,None,Sand Veil,None,Sand Rush,1,Field,None,FALSE,FALSE,FALSE,TRUE
Sandslash(Alolan Sandslash),28,450,75,100,120,65,65,25,Ice,Steel,Snow Cloak,None,Slush Rush,7,Field,None,FALSE,FALSE,FALSE,TRUE
Nidoran♀,29,275,55,47,52,41,40,40,Poison,None,Poison Point,Rivalry,Hustle,1,Field,Monster,FALSE,FALSE,FALSE,FALSE
Nidorina,30,365,70,62,67,56,55,55,Poison,None,Poison Point,Rivalry,Hustle,1,Undiscovered,None,FALSE,FALSE,FALSE,FALSE
Nidoqueen,31,505,90,92,87,76,85,75,Poison,Ground,Poison Point,Rivalry,Sheer Force,1,Undiscovered,None,FALSE,FALSE,FALSE,TRUE
Nidoran♂,32,273,46,57,40,50,40,40,Poison,None,Poison Point,Rivalry,Hustle,1,Field,Monster,FALSE,FALSE,FALSE,FALSE
Nidorino,33,365,61,72,57,65,55,55,Poison,None,Poison Point,Rivalry,Hustle,1,Field,Monster,FALSE,FALSE,FALSE,FALSE
Nidoking,34,505,81,102,77,85,75,85,Poison,Ground,Poison Point,Rivalry,Sheer Force,1,Field,Monster,FALSE,FALSE,FALSE,TRUE
Clefairy,35,323,70,45,48,35,65,60,Fairy,None,Cute Charm,Magic Guard,Friend Guard,1,Fairy,None,FALSE,FALSE,FALSE,FALSE
Clefable,36,483,95,70,73,60,90,95,Fairy,None,Cute Charm,Magic Guard,Unaware,1,Fairy,None,FALSE,FALSE,FALSE,TRUE
Vulpix,37,299,38,41,40,65,65,50,Fire,None,Flash Fire,None,Drought,1,Field,None,FALSE,FALSE,FALSE,FALSE
Vulpix(Alolan Vulpix),37,299,38,41,40,65,65,50,Ice,None,Snow Cloak,None,Snow Warning,7,Field,None,FALSE,FALSE,FALSE,FALSE
Ninetales,38,505,73,76,75,100,100,81,Fire,None,Flash Fire,None,Drought,1,Field,None,FALSE,FALSE,FALSE,TRUE
Ninetales(Alolan Ninetales),38,505,73,67,75,109,100,81,Ice,Fairy,Snow Cloak,None,Snow Warning,7,Field,None,FALSE,FALSE,FALSE,TRUE
Jigglypuff,39,270,115,45,20,20,25,45,Normal,Fairy,Cute Charm,Competitive,Friend Guard,1,Fairy,None,FALSE,FALSE,FALSE,FALSE
Wigglytuff,40,435,140,70,45,45,50,85,Normal,Fairy,Cute Charm,Competitive,Frisk,1,Fairy,None,FALSE,FALSE,FALSE,TRUE
Zubat,41,245,40,45,35,55,40,30,Poison,Flying,Inner Focus,None,Infiltrator,1,Flying,None,FALSE,FALSE,FALSE,FALSE
Golbat,42,455,75,80,70,90,75,65,Poison,Flying,Inner Focus,None,Infiltrator,1,Flying,None,FALSE,FALSE,FALSE,FALSE
Oddish,43,320,45,50,55,30,65,75,Grass,Poison,Chlorophyll,None,Run Away,1,Grass,None,FALSE,FALSE,FALSE,FALSE
Gloom,44,395,60,65,70,40,75,85,Grass,Poison,Chlorophyll,None,Stench,1,Grass,None,FALSE,FALSE,FALSE,FALSE
Vileplume,45,490,75,80,85,50,90,110,Grass,Poison,Chlorophyll,None,Effect Spore,1,Grass,None,FALSE,FALSE,FALSE,TRUE
Paras,46,285,35,70,55,25,55,45,Bug,Grass,Effect Spore,Dry Skin,Damp,1,Bug,Grass,FALSE,FALSE,FALSE,FALSE
Parasect,47,405,60,95,80,30,80,60,Bug,Grass,Effect Spore,Dry Skin,Damp,1,Bug,Grass,FALSE,FALSE,FALSE,TRUE
Venonat,48,305,60,55,50,45,55,40,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,1,Bug,None,FALSE,FALSE,FALSE,FALSE
Venomoth,49,450,70,65,60,90,75,90,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,1,Bug,None,FALSE,FALSE,FALSE,TRUE
Diglett,50,265,10,55,25,95,45,35,Ground,None,Sand Veil,Arena Trap,Sand Force,1,Field,None,FALSE,FALSE,FALSE,FALSE
Diglett(Alolan Diglett),50,265,10,55,30,90,45,35,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,7,Field,None,FALSE,FALSE,FALSE,FALSE
Dugtrio,51,425,35,100,50,120,70,50,Ground,None,Sand Veil,Arena Trap,Sand Force,1,Field,None,FALSE,FALSE,FALSE,TRUE
Dugtrio(Alolan Dugtrio),51,425,35,100,60,110,70,50,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,7,Field,None,FALSE,FALSE,FALSE,TRUE
Meowth,52,290,40,45,35,90,40,40,Normal,None,Pickup,Technician,Unnerve,1,Field,None,FALSE,FALSE,FALSE,FALSE
Meowth(Alolan Meowth),52,290,40,35,35,90,40,50,Dark,None,Pickup,Technician,Rattled,7,Field,None,FALSE,FALSE,FALSE,FALSE
Meowth(Galarian Meowth),52,290,50,65,55,40,40,40,Steel,None,Pickup,Tough Claws,Unnerve,8,Field,None,FALSE,FALSE,FALSE,FALSE
Persian,53,440,65,70,60,115,65,65,Normal,None,Limber,Technician,Unnerve,1,Field,None,FALSE,FALSE,FALSE,TRUE
Persian(Alolan Persian),53,440,65,60,60,115,65,75,Dark,None,Fur Coat,Technician,Rattled,7,Field,None,FALSE,FALSE,FALSE,TRUE
Psyduck,54,320,50,52,48,55,50,65,Water,None,Damp,Cloud Nine,Swift Swim,1,Field,Water 1,FALSE,FALSE,FALSE,FALSE
Golduck,55,500,80,82,78,85,80,95,Water,None,Damp,Cloud Nine,Swift Swim,1,Field,Water 1,FALSE,FALSE,FALSE,TRUE
Mankey,56,305,40,80,35,70,45,35,Fighting,None,Vital Spirit,Anger Point,Defiant,1,Field,None,FALSE,FALSE,FALSE,FALSE
Primeape,57,455,65,105,60,95,70,60,Fighting,None,Vital Spirit,Anger Point,Defiant,1,Field,None,FALSE,FALSE,FALSE,FALSE
Growlithe,58,350,55,70,45,60,50,70,Fire,None,Intimidate,Flash Fire,Justified,1,Field,None,FALSE,FALSE,FALSE,FALSE
Growlithe(Hisuian Growlithe),58,350,60,75,45,55,50,65,Fire,Rock,Intimidate,Flash Fire,Rock Head,1,Field,None,FALSE,FALSE,FALSE,FALSE
Arcanine,59,555,90,110,80,95,80,100,Fire,None,Intimidate,Flash Fire,Justified,1,Field,None,FALSE,FALSE,FALSE,TRUE
Arcanine(Hisuian Arcanine),59,555,95,115,80,90,80,95,Fire,Rock,Intimidate,Flash Fire,Rock Head,1,Field,None,FALSE,FALSE,FALSE,TRUE
Poliwag,60,300,40,50,40,90,40,40,Water,None,Water Absorb,Damp,Swift Swim,1,Water 1,None,FALSE,FALSE,FALSE,FALSE
Poliwhirl,61,385,65,65,65,90,50,50,Water,None,Water Absorb,Damp,Swift Swim,1,Water 1,None,FALSE,FALSE,FALSE,FALSE
Poliwrath,62,510,90,95,95,70,90,70,Water,Fighting,Water Absorb,Damp,Swift Swim,1,Water 1,None,FALSE,FALSE,FALSE,TRUE
Abra,63,310,25,20,15,90,55,105,Psychic,None,Synchronize,Inner Focus,Magic Guard,1,Human-Like,None,FALSE,FALSE,FALSE,FALSE
Kadabra,64,400,40,35,30,105,70,120,Psychic,None,Synchronize,Inner Focus,Magic Guard,1,Human-Like,None,FALSE,FALSE,FALSE,FALSE
Alakazam,65,500,55,50,45,120,95,135,Psychic,None,Synchronize,Inner Focus,Magic Guard,1,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Machop,66,305,70,80,50,35,35,35,Fighting,None,Guts,No Guard,Steadfast,1,Human-Like,None,FALSE,FALSE,FALSE,FALSE
Machoke,67,405,80,100,70,45,60,50,Fighting,None,Guts,No Guard,Steadfast,1,Human-Like,None,FALSE,FALSE,FALSE,FALSE
Machamp,68,505,90,130,80,55,85,65,Fighting,None,Guts,No Guard,Steadfast,1,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Bellsprout,69,300,50,75,35,40,30,70,Grass,Poison,Chlorophyll,None,Gluttony,1,Grass,None,FALSE,FALSE,FALSE,FALSE
Weepinbell,70,390,65,90,50,55,45,85,Grass,Poison,Chlorophyll,None,Gluttony,1,Grass,None,FALSE,FALSE,FALSE,FALSE
Victreebel,71,490,80,105,65,70,70,100,Grass,Poison,Chlorophyll,None,Gluttony,1,Grass,None,FALSE,FALSE,FALSE,TRUE
Tentacool,72,335,40,40,35,70,100,50,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,1,Water 3,None,FALSE,FALSE,FALSE,FALSE
Tentacruel,73,515,80,70,65,100,120,80,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,1,Water 3,None,FALSE,FALSE,FALSE,TRUE
Geodude,74,300,40,80,100,20,30,30,Rock,Ground,Rock Head,Sturdy,Sand Veil,1,Mineral,None,FALSE,FALSE,FALSE,FALSE
Geodude(Alolan Geodude),74,300,40,80,100,20,30,30,Rock,Electric,Magnet Pull,Sturdy,Galvanize,7,Mineral,None,FALSE,FALSE,FALSE,FALSE
Graveler,75,390,55,95,115,35,45,45,Rock,Ground,Rock Head,Sturdy,Sand Veil,1,Mineral,None,FALSE,FALSE,FALSE,FALSE
Graveler(Alolan Graveler),75,390,55,95,115,35,45,45,Rock,Electric,Magnet Pull,Sturdy,Galvanize,7,Mineral,None,FALSE,FALSE,FALSE,FALSE
Golem,76,495,80,120,130,45,65,55,Rock,Ground,Rock Head,Sturdy,Sand Veil,1,Mineral,None,FALSE,FALSE,FALSE,TRUE
Golem(Alolan Golem),76,495,80,120,130,45,65,55,Rock,Electric,Magnet Pull,Sturdy,Galvanize,7,Mineral,None,FALSE,FALSE,FALSE,TRUE
Ponyta,77,410,50,85,55,90,65,65,Fire,None,Run Away,Flash Fire,Flame Body,1,Field,None,FALSE,FALSE,FALSE,FALSE
Ponyta(Galarian Ponyta),77,410,50,85,55,90,65,65,Psychic,None,Run Away,Pastel Veil,Anticipation,8,Field,None,FALSE,FALSE,FALSE,FALSE
Rapidash,78,500,65,100,70,105,80,80,Fire,None,Run Away,Flash Fire,Flame Body,1,Field,None,FALSE,FALSE,FALSE,TRUE
Rapidash(Galarian Rapidash),78,500,65,100,70,105,80,80,Psychic,Fairy,Run Away,Pastel Veil,Anticipation,8,Field,None,FALSE,FALSE,FALSE,TRUE
Slowpoke,79,315,90,65,65,15,40,40,Water,Psychic,Oblivious,Own Tempo,Regenerator,1,Monster,Water 1,FALSE,FALSE,FALSE,FALSE
Slowpoke(Galarian Slowpoke),79,315,90,65,65,15,40,40,Psychic,None,Gluttony,Own Tempo,Regenerator,8,Monster,Water 1,FALSE,FALSE,FALSE,FALSE
Slowbro,80,490,95,75,110,30,80,100,Water,Psychic,Oblivious,Own Tempo,Regenerator,1,Monster,Water 1,FALSE,FALSE,FALSE,TRUE
Slowbro(Galarian Slowbro),80,490,95,100,95,30,70,100,Poison,Psychic,Quick Draw,Own Tempo,Regenerator,8,Monster,Water 1,FALSE,FALSE,FALSE,TRUE
Magnemite,81,325,25,35,70,45,55,95,Electric,Steel,Magnet Pull,Sturdy,Analytic,1,Mineral,None,FALSE,FALSE,FALSE,FALSE
Magneton,82,465,50,60,95,70,70,120,Electric,Steel,Magnet Pull,Sturdy,Analytic,1,Mineral,None,FALSE,FALSE,FALSE,FALSE
Farfetch'd(Galarian Farfetch'd),83,377,52,95,55,55,62,58,Fighting,None,Steadfast,None,Scrappy,8,Field,Flying,FALSE,FALSE,FALSE,FALSE
Farfetch'd,83,377,52,90,55,60,62,58,Normal,Flying,Keen Eye,Inner Focus,Defiant,1,Field,Flying,FALSE,FALSE,FALSE,TRUE
Doduo,84,310,35,85,45,75,35,35,Normal,Flying,Run Away,Early Bird,Tangled Feet,1,Flying,None,FALSE,FALSE,FALSE,FALSE
Dodrio,85,470,60,110,70,110,60,60,Normal,Flying,Run Away,Early Bird,Tangled Feet,1,Flying,None,FALSE,FALSE,FALSE,TRUE
Seel,86,325,65,45,55,45,70,45,Water,None,Thick Fat,Hydration,Ice Body,1,Field,Water 1,FALSE,FALSE,FALSE,FALSE
Dewgong,87,475,90,70,80,70,95,70,Water,Ice,Thick Fat,Hydration,Ice Body,1,Field,Water 1,FALSE,FALSE,FALSE,TRUE
Grimer,88,325,80,80,50,25,50,40,Poison,None,Stench,Sticky Hold,Poison Touch,1,Amorphous,None,FALSE,FALSE,FALSE,FALSE
Grimer(Alolan Grimer),88,325,80,80,50,25,50,40,Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,7,Amorphous,None,FALSE,FALSE,FALSE,FALSE
Muk,89,500,105,105,75,50,100,65,Poison,None,Stench,Sticky Hold,Poison Touch,1,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Muk(Alolan Muk),89,500,105,105,75,50,100,65,Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,7,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Shellder,90,305,30,65,100,40,25,45,Water,None,Shell Armor,Skill Link,Overcoat,1,Water 3,None,FALSE,FALSE,FALSE,FALSE
Cloyster,91,525,50,95,180,70,45,85,Water,Ice,Shell Armor,Skill Link,Overcoat,1,Water 3,None,FALSE,FALSE,FALSE,TRUE
Gastly,92,310,30,35,30,80,35,100,Ghost,Poison,Levitate,None,None,1,Amorphous,None,FALSE,FALSE,FALSE,FALSE
Haunter,93,405,45,50,45,95,55,115,Ghost,Poison,Levitate,None,None,1,Amorphous,None,FALSE,FALSE,FALSE,FALSE
Gengar,94,500,60,65,60,110,75,130,Ghost,Poison,Cursed Body,None,None,1,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Onix,95,385,35,45,160,70,45,30,Rock,Ground,Rock Head,Sturdy,Weak Armor,1,Mineral,None,FALSE,FALSE,FALSE,FALSE
Drowzee,96,328,60,48,45,42,90,43,Psychic,None,Insomnia,Forewarn,Inner Focus,1,Human-Like,None,FALSE,FALSE,FALSE,FALSE
Hypno,97,483,85,73,70,67,115,73,Psychic,None,Insomnia,Forewarn,Inner Focus,1,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Krabby,98,325,30,105,90,50,25,25,Water,None,Hyper Cutter,Shell Armor,Sheer Force,1,Water 3,None,FALSE,FALSE,FALSE,FALSE
Kingler,99,475,55,130,115,75,50,50,Water,None,Hyper Cutter,Shell Armor,Sheer Force,1,Water 3,None,FALSE,FALSE,FALSE,TRUE
Voltorb,100,330,40,30,50,100,55,55,Electric,None,Soundproof,Static,Aftermath,1,Mineral,None,FALSE,FALSE,FALSE,FALSE
Voltorb(Hisuian Voltorb),100,330,40,30,50,100,55,55,Electric,Grass,Soundproof,Static,Aftermath,1,Mineral,None,FALSE,FALSE,FALSE,FALSE
Electrode,101,490,60,50,70,150,80,80,Electric,None,Soundproof,Static,Aftermath,1,Mineral,None,FALSE,FALSE,FALSE,TRUE
Electrode(Hisuian Electrode),101,490,60,50,70,150,80,80,Electric,Grass,Soundproof,Static,Aftermath,1,Mineral,None,FALSE,FALSE,FALSE,TRUE
Exeggcute,102,325,60,40,80,40,45,60,Grass,Psychic,Chlorophyll,None,Harvest,1,Grass,None,FALSE,FALSE,FALSE,FALSE
Exeggutor,103,530,95,95,85,55,75,125,Grass,Psychic,Chlorophyll,None,Harvest,1,Grass,None,FALSE,FALSE,FALSE,TRUE
Exeggutor(Alolan Exeggutor),103,530,95,105,85,45,75,125,Grass,Dragon,Frisk,None,Harvest,7,Grass,None,FALSE,FALSE,FALSE,TRUE
Cubone,104,320,50,50,95,35,50,40,Ground,None,Rock Head,Lightning Rod,Battle Armor,1,Monster,None,FALSE,FALSE,FALSE,FALSE
Marowak,105,425,60,80,110,45,80,50,Ground,None,Rock Head,Lightning Rod,Battle Armor,1,Monster,None,FALSE,FALSE,FALSE,TRUE
Marowak(Alolan Marowak),105,425,60,80,110,45,80,50,Fire,Ghost,Cursed Body,Lightning Rod,Rock Head,7,Monster,None,FALSE,FALSE,FALSE,TRUE
Hitmonlee,106,455,50,120,53,87,110,35,Fighting,None,Limber,Reckless,Unburden,1,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Hitmonchan,107,455,50,105,79,76,110,35,Fighting,None,Keen Eye,Iron Fist,Inner Focus,1,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Lickitung,108,385,90,55,75,30,75,60,Normal,None,Own Tempo,Oblivious,Cloud Nine,1,Monster,None,FALSE,FALSE,FALSE,FALSE
Koffing,109,340,40,65,95,35,45,60,Poison,None,Levitate,Neutralizing Gas,Stench,1,Amorphous,None,FALSE,FALSE,FALSE,FALSE
Weezing,110,490,65,90,120,60,70,85,Poison,None,Levitate,Neutralizing Gas,Stench,1,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Weezing(Galarian Weezing),110,490,65,90,120,60,70,85,Poison,Fairy,Levitate,Neutralizing Gas,Misty Surge,8,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Rhyhorn,111,345,80,85,95,25,30,30,Ground,Rock,Lightning Rod,Rock Head,Reckless,1,Field,Monster,FALSE,FALSE,FALSE,FALSE
Rhydon,112,485,105,130,120,40,45,45,Ground,Rock,Lightning Rod,Rock Head,Reckless,1,Field,Monster,FALSE,FALSE,FALSE,FALSE
Chansey,113,450,250,5,5,50,105,35,Normal,None,Natural Cure,Serene Grace,Healer,1,Fairy,None,FALSE,FALSE,FALSE,FALSE
Tangela,114,435,65,55,115,60,40,100,Grass,None,Chlorophyll,Leaf Guard,Regenerator,1,Grass,None,FALSE,FALSE,FALSE,FALSE
Kangaskhan,115,490,105,95,80,90,80,40,Normal,None,Early Bird,Scrappy,Inner Focus,1,Monster,None,FALSE,FALSE,FALSE,TRUE
Horsea,116,295,30,40,70,60,25,70,Water,None,Swift Swim,Sniper,Damp,1,Dragon,Water 1,FALSE,FALSE,FALSE,FALSE
Seadra,117,440,55,65,95,85,45,95,Water,None,Poison Point,Sniper,Damp,1,Dragon,Water 1,FALSE,FALSE,FALSE,FALSE
Goldeen,118,320,45,67,60,63,50,35,Water,None,Swift Swim,Water Veil,Lightning Rod,1,Water 2,None,FALSE,FALSE,FALSE,FALSE
Seaking,119,450,80,92,65,68,80,65,Water,None,Swift Swim,Water Veil,Lightning Rod,1,Water 2,None,FALSE,FALSE,FALSE,TRUE
Staryu,120,340,30,45,55,85,55,70,Water,None,Illuminate,Natural Cure,Analytic,1,Water 3,None,FALSE,FALSE,FALSE,FALSE
Starmie,121,520,60,75,85,115,85,100,Water,Psychic,Illuminate,Natural Cure,Analytic,1,Water 3,None,FALSE,FALSE,FALSE,TRUE
Mr. Mime(Galarian Mr. Mime),122,460,50,65,65,100,90,90,Ice,Psychic,Vital Spirit,Screen Cleaner,Ice Body,8,Human-Like,None,FALSE,FALSE,FALSE,FALSE
Mr. Mime,122,460,40,45,65,90,120,100,Psychic,Fairy,Soundproof,Filter,Technician,1,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Scyther,123,500,70,110,80,105,80,55,Bug,Flying,Swarm,Technician,Steadfast,1,Bug,None,FALSE,FALSE,FALSE,FALSE
Jynx,124,455,65,50,35,95,95,115,Ice,Psychic,Oblivious,Forewarn,Dry Skin,1,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Electabuzz,125,490,65,83,57,105,85,95,Electric,None,Static,None,Vital Spirit,1,Human-Like,None,FALSE,FALSE,FALSE,FALSE
Magmar,126,495,65,95,57,93,85,100,Fire,None,Flame Body,None,Vital Spirit,1,Human-Like,None,FALSE,FALSE,FALSE,FALSE
Pinsir,127,500,65,125,100,85,70,55,Bug,None,Hyper Cutter,Mold Breaker,Moxie,1,Bug,None,FALSE,FALSE,FALSE,TRUE
Tauros,128,490,75,100,95,110,70,40,Normal,None,Intimidate,Anger Point,Sheer Force,1,Field,None,FALSE,FALSE,FALSE,TRUE
Tauros(Combat Breed),128,490,75,110,105,100,70,30,Fighting,None,Intimidate,Anger Point,Cud Chew,1,Field,None,FALSE,FALSE,FALSE,TRUE
Tauros(Blaze Breed),128,490,75,110,105,100,70,30,Fighting,Fire,Intimidate,Anger Point,Cud Chew,1,Field,None,FALSE,FALSE,FALSE,TRUE
Tauros(Aqua Breed),128,490,75,110,105,100,70,30,Fighting,Water,Intimidate,Anger Point,Cud Chew,1,Field,None,FALSE,FALSE,FALSE,TRUE
Magikarp,129,200,20,10,55,80,20,15,Water,None,Swift Swim,None,Rattled,1,Dragon,Water 2,FALSE,FALSE,FALSE,FALSE
Gyarados,130,540,95,125,79,81,100,60,Water,Flying,Intimidate,None,Moxie,1,Dragon,Water 2,FALSE,FALSE,FALSE,TRUE
Lapras,131,535,130,85,80,60,95,85,Water,Ice,Water Absorb,Shell Armor,Hydration,1,Monster,Water 1,FALSE,FALSE,FALSE,TRUE
Ditto,132,288,48,48,48,48,48,48,Normal,None,Limber,None,Imposter,1,Ditto,None,FALSE,FALSE,FALSE,TRUE
Eevee(Partner Eevee),133,435,65,75,70,75,85,65,Normal,None,None,None,None,1,Field,None,FALSE,FALSE,FALSE,FALSE
Eevee,133,325,55,55,50,55,65,45,Normal,None,Run Away,Adaptability,Anticipation,1,Field,None,FALSE,FALSE,FALSE,FALSE
Vaporeon,134,525,130,65,60,65,95,110,Water,None,Water Absorb,None,Hydration,1,Field,None,FALSE,FALSE,FALSE,TRUE
Jolteon,135,525,65,65,60,130,95,110,Electric,None,Volt Absorb,None,Quick Feet,1,Field,None,FALSE,FALSE,FALSE,TRUE
Flareon,136,525,65,130,60,65,110,95,Fire,None,Flash Fire,None,Guts,1,Field,None,FALSE,FALSE,FALSE,TRUE
Porygon,137,395,65,60,70,40,75,85,Normal,None,Trace,Download,Analytic,1,Mineral,None,FALSE,FALSE,FALSE,FALSE
Omanyte,138,355,35,40,100,35,55,90,Rock,Water,Swift Swim,Shell Armor,Weak Armor,1,Water 1,Water 3,FALSE,FALSE,FALSE,FALSE
Omastar,139,495,70,60,125,55,70,115,Rock,Water,Swift Swim,Shell Armor,Weak Armor,1,Water 1,Water 3,FALSE,FALSE,FALSE,TRUE
Kabuto,140,355,30,80,90,55,45,55,Rock,Water,Swift Swim,Battle Armor,Weak Armor,1,Water 1,Water 3,FALSE,FALSE,FALSE,FALSE
Kabutops,141,495,60,115,105,80,70,65,Rock,Water,Swift Swim,Battle Armor,Weak Armor,1,Water 1,Water 3,FALSE,FALSE,FALSE,TRUE
Aerodactyl,142,515,80,105,65,130,75,60,Rock,Flying,Rock Head,Pressure,Unnerve,1,Flying,None,FALSE,FALSE,FALSE,TRUE
Snorlax,143,540,160,110,65,30,110,65,Normal,None,Immunity,Thick Fat,Gluttony,1,Monster,None,FALSE,FALSE,FALSE,TRUE
